Identifier ,Schema Name/Title,Creator(s)/Curator(s),Maintenance organization,"Place: Publisher, date.",Summary / Abstract ,Format(s) ,Language,Physical Location,Online Location ,Earlier versions (editions) …,History of versioning:,Version Notes: ,Last Updated: ,Number of terms in system,Phenomena included,Disciplines included,Direct domains included,Related to: ,BARTOC Link,ICC Classification ,NARCIS Classification ,KOS Types Vocabulary
KOS.SSH.28.16,Dewey Decimal Classification (DDC),,,1932,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.",,,,,,DDC13,,,,Entire world knowledge. ,n/a,,n/a,,,,Classification scheme
KOS.SSH.28.17,Dewey Decimal Classification (DDC),,,1936,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.",,,,,,5th Abridged Edition,,,,Entire world knowledge. ,n/a,,n/a,,,,Classification scheme
KOS.SSH.28.18,Dewey Decimal Classification (DDC),,,1942,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.",,,,,,DDC14,,,,Entire world knowledge. ,n/a,,n/a,,,,Classification scheme
KOS.SSH.28.19,Dewey Decimal Classification (DDC),,,1945,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.",,,,,,6th Abridged Edition,,,,Entire world knowledge. ,n/a,,n/a,,,,Classification scheme
KOS.SSH.28.20,Dewey Decimal Classification (DDC),,,1951,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.",,,,,,DDC15,,,,Entire world knowledge. ,n/a,,n/a,,,,Classification scheme
KOS.SSH.28.21,Dewey Decimal Classification (DDC),,,1953,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.",,,,,,7th Abridged Edition,,,,Entire world knowledge. ,n/a,,n/a,,,,Classification scheme
KOS.SSH.28.22,Dewey Decimal Classification (DDC),,,1958,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.",,,,,,DDC16,,,,Entire world knowledge. ,n/a,,n/a,,,,Classification scheme
KOS.SSH.28.23,Dewey Decimal Classification (DDC),,,1959,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.",,,,,,8th Abridged Edition,,,,Entire world knowledge. ,n/a,,n/a,,,,Classification scheme
KOS.SSH.28.24,Dewey Decimal Classification (DDC),,,1965,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.",,,,,,DDC17,,,,Entire world knowledge. ,n/a,,n/a,,,,Classification scheme
KOS.SSH.28.25,Dewey Decimal Classification (DDC),,,1965,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.",,,,,,9th Abridged Edition,,,,Entire world knowledge. ,n/a,,n/a,,,,Classification scheme
KOS.SSH.28.26,Dewey Decimal Classification (DDC),,,1971,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.",,,,,,DDC18,,,,Entire world knowledge. ,n/a,,n/a,,,,Classification scheme
KOS.SSH.28.27,Dewey Decimal Classification (DDC),,,1971,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.",,,,,,10th Abridged Edition,,,,Entire world knowledge. ,n/a,,n/a,,,,Classification scheme
KOS.SSH.28.28,Dewey Decimal Classification (DDC),,,1979,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.",,,,,,DDC19,,,,Entire world knowledge. ,n/a,,n/a,,,,Classification scheme
KOS.SSH.28.29,Dewey Decimal Classification (DDC),,,1979,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.",,,,,,11th Abridged Edition,,,,Entire world knowledge. ,n/a,,n/a,,,,Classification scheme
KOS.SSH.28.30,Dewey Decimal Classification (DDC),,Online Computer Library Center (OCLC),1989,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.",,,,,,DDC20,,,,Entire world knowledge. ,n/a,,n/a,,,,Classification scheme
KOS.SSH.28.31,Dewey Decimal Classification (DDC),,Online Computer Library Center (OCLC),1990,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.",,,,,,12th Abridged Edition,,,,Entire world knowledge. ,n/a,,n/a,,,,Classification scheme
KOS.SSH.28.32,Dewey Decimal Classification (DDC),,Online Computer Library Center (OCLC),1996,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.",,,,,,DDC21,,,,Entire world knowledge. ,n/a,,n/a,,,,Classification scheme
KOS.SSH.28.33,Dewey Decimal Classification (DDC),,Online Computer Library Center (OCLC),1997,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.",,,,,,13th Abridged Edition,,,,Entire world knowledge. ,n/a,,n/a,,,,Classification scheme
KOS.SSH.28.34,Dewey Decimal Classification (DDC),n/a,Online Computer Library Center (OCLC),2003,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.","WebDewey, Digital. ",ml,n/a,n/a,13th Abridged Edition,DDC22,"The print version of the DDC, Edition 22, is composed of four volumes. 
",n/a,n/a,Entire world knowledge. ,"000 Computer science, information & general works; 
100 Philosophy & psychology; 
200 Religion; 
300 Social sciences; 
400 Language; 
500 Science; 
600 Technology; 
700 Arts & recreation; 
800 Literature; 
900 History & geography.",n/a,n/a,http://bartoc.org/en/node/241,043,D31000,Classification scheme
KOS.SSH.28.35,Dewey Decimal Classification (DDC),n/a,Online Computer Library Center (OCLC),3004,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.","WebDewey, Digital. ",ml,n/a,n/a,DDC22,14th Abridged Edition,n/a,n/a,n/a,Entire world knowledge. ,n/a,n/a,n/a,http://bartoc.org/en/node/241,043,D31000,Classification scheme
KOS.SSH.28.36,Dewey Decimal Classification (DDC),n/a,Online Computer Library Center (OCLC),2011,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.","WebDewey, Digital. ",ml,n/a,https://www.oclc.org/en/dewey.html?cmpid=md_prod_dewey,14th Abridged Edition,DDC23,n/a,n/a,n/a,Entire world knowledge. ,n/a,n/a,n/a,http://bartoc.org/en/node/241,043,D31000,Classification scheme
KOS.SSH.28.37,Dewey Decimal Classification (DDC),n/a,Online Computer Library Center (OCLC),2012,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.","WebDewey, Digital. ",ml,n/a,https://www.oclc.org/en/dewey.html?cmpid=md_prod_dewey,DDC23,15th Abridged Edition,n/a,n/a,n/a,Entire world knowledge. ,"000 – Computer science, information & general works; 
100 – Philosophy and psychology; 
200 – Religion; 
300 – Social sciences; 
400 – Language; 
500 – Pure Science; 
600 – Technology; 
700 – Arts & recreation; 
800 – Literature; 
900 – History & geography.",n/a,n/a,http://bartoc.org/en/node/241,043,D31000,Classification scheme
KOS.SSH.28.38,Dewey Decimal Classification (DDC) - Language Editions ,n/a,Online Computer Library Center (OCLC),n/a,"The Dewey Decimal Classification (DDC) is structured around ten main classes covering the entire world of knowledge; each main class is further structured into ten hierarchical divisions, each having ten sections of increasing specificity. As a system of library classification the DDC is ""arranged by discipline, not subject"", so a topic like clothing is classed based on its disciplinary treatment (psychological influence of clothing at 155.95, customs associated with clothing at 391, and fashion design of clothing at 746.92) within the conceptual framework.","WebDewey, Digital. ","the ddc has been translated into over thirty languages. since 1988, authorized translations of the full and abridged editions of the ddc have been published or are under way in arabic, french, german, greek, hebrew, icelandic, indonesian, italian, norwegian, russian, spanish, swedish, turkish, and vietnamese. the ddc summaries, the top three levels of the dewey decimal classification system, have been translated into afrikaans, arabic, chinese, czech, french, german, hebrew, italian, norwegian, portuguese, russian, spanish, swedish, and vietnamese.",n/a,n/a,n/a,n/a,See Language ,n/a,n/a,Entire world knowledge. ,"000 – Computer science, information & general works; 
100 – Philosophy and psychology; 
200 – Religion; 
300 – Social sciences; 
400 – Language; 
500 – Pure Science; 
600 – Technology; 
700 – Arts & recreation; 
800 – Literature; 
900 – History & geography.",n/a,n/a,http://bartoc.org/en/node/241,043,D31000,Classification scheme
KOS.SSH.29,Library of Congress Subject Headings (LCSH),Library of Congress. Subject Cataloging Division.,Library of Congress ,"Washington : Library of Congress, 1898-","The Library of Congress Subject Headings (LCSH) comprise a thesaurus (in the information science sense, a controlled vocabulary) of subject headings, maintained by the United States Library of Congress, for use in bibliographic records. LC Subject Headings are an integral part of bibliographic control, which is the function by which libraries collect, organize and disseminate documents. LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",Journal; Magazine. ,en,KOS.30!A1:A4,n/a,n/a,1st Edition ,n/a,n/a,n/a,"LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",n/a,n/a,n/a,http://bartoc.org/en/node/454,044.8,D31000,Subject heading scheme 
KOS.SSH.29.1,Library of Congress Subject Headings (LCSH),Library of Congress. Subject Cataloging Division.,Library of Congress ,"Washington : Library of Congress, ?","The Library of Congress Subject Headings (LCSH) comprise a thesaurus (in the information science sense, a controlled vocabulary) of subject headings, maintained by the United States Library of Congress, for use in bibliographic records. LC Subject Headings are an integral part of bibliographic control, which is the function by which libraries collect, organize and disseminate documents. LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",Journal; Magazine. ,en,KOS.30!A1:A4,,,2nd Edition ,,n/a,n/a,"LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",n/a,n/a,n/a,,,,
KOS.SSH.29.2,Library of Congress Subject Headings (LCSH),Library of Congress. Subject Cataloging Division.,Library of Congress ,"Washington : Library of Congress, ?","The Library of Congress Subject Headings (LCSH) comprise a thesaurus (in the information science sense, a controlled vocabulary) of subject headings, maintained by the United States Library of Congress, for use in bibliographic records. LC Subject Headings are an integral part of bibliographic control, which is the function by which libraries collect, organize and disseminate documents. LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",Journal; Magazine. ,en,KOS.30!A1:A4,,,3rd Edition,,n/a,n/a,"LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",n/a,n/a,n/a,,,,
KOS.SSH.29.3,Library of Congress Subject Headings (LCSH),Library of Congress. Subject Cataloging Division.,Library of Congress ,"Washington : Library of Congress, ?","The Library of Congress Subject Headings (LCSH) comprise a thesaurus (in the information science sense, a controlled vocabulary) of subject headings, maintained by the United States Library of Congress, for use in bibliographic records. LC Subject Headings are an integral part of bibliographic control, which is the function by which libraries collect, organize and disseminate documents. LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",Journal; Magazine. ,en,KOS.30!A1:A4,,,4th Edition,,n/a,n/a,"LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",n/a,n/a,n/a,,,,
KOS.SSH.29.4,Library of Congress Subject Headings (LCSH),Library of Congress. Subject Cataloging Division.,Library of Congress ,"Washington : Library of Congress, ?","The Library of Congress Subject Headings (LCSH) comprise a thesaurus (in the information science sense, a controlled vocabulary) of subject headings, maintained by the United States Library of Congress, for use in bibliographic records. LC Subject Headings are an integral part of bibliographic control, which is the function by which libraries collect, organize and disseminate documents. LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",Journal; Magazine. ,en,KOS.30!A1:A4,,,5th Edition,,n/a,n/a,"LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",n/a,n/a,n/a,,,,
KOS.SSH.29.5,Library of Congress Subject Headings (LCSH),Library of Congress. Subject Cataloging Division.,Library of Congress ,"Washington : Library of Congress, ?","The Library of Congress Subject Headings (LCSH) comprise a thesaurus (in the information science sense, a controlled vocabulary) of subject headings, maintained by the United States Library of Congress, for use in bibliographic records. LC Subject Headings are an integral part of bibliographic control, which is the function by which libraries collect, organize and disseminate documents. LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",Journal; Magazine. ,en,KOS.30!A1:A4,,,6th Edition,,n/a,n/a,"LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",n/a,n/a,n/a,,,,
KOS.SSH.29.6,Library of Congress Subject Headings (LCSH),Library of Congress. Subject Cataloging Division.,Library of Congress ,"Washington : Library of Congress, ?","The Library of Congress Subject Headings (LCSH) comprise a thesaurus (in the information science sense, a controlled vocabulary) of subject headings, maintained by the United States Library of Congress, for use in bibliographic records. LC Subject Headings are an integral part of bibliographic control, which is the function by which libraries collect, organize and disseminate documents. LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",Journal; Magazine. ,en,KOS.30!A1:A4,,,7th Edition,,n/a,n/a,"LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",n/a,n/a,n/a,,,,
KOS.SSH.29.7,Library of Congress Subject Headings (LCSH),Library of Congress. Subject Cataloging Division.,Library of Congress ,"Washington : Library of Congress, 1975","The Library of Congress Subject Headings (LCSH) comprise a thesaurus (in the information science sense, a controlled vocabulary) of subject headings, maintained by the United States Library of Congress, for use in bibliographic records. LC Subject Headings are an integral part of bibliographic control, which is the function by which libraries collect, organize and disseminate documents. LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",Journal; Magazine. ,en,KOS.30!A1:A4,"Volume 1: https://books.google.nl/books?id=tyIoAAAAMAAJ&redir_esc=y 
Volume 2: https://books.google.nl/books?id=LQwoAAAAMAAJ&redir_esc=y ",7th Edition,8th Edition,Printed in 2 Volumes.,n/a,n/a,"LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",n/a,n/a,n/a,http://bartoc.org/en/node/454,,,
KOS.SSH.29.8,Library of Congress Subject Headings (LCSH),Library of Congress. Subject Cataloging Division.,Library of Congress ,"Washington : Library of Congress, ?","The Library of Congress Subject Headings (LCSH) comprise a thesaurus (in the information science sense, a controlled vocabulary) of subject headings, maintained by the United States Library of Congress, for use in bibliographic records. LC Subject Headings are an integral part of bibliographic control, which is the function by which libraries collect, organize and disseminate documents. LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",n/a,en,KOS.30!A1:A4,,,9th Edition,,n/a,n/a,"LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",n/a,n/a,n/a,,,,
KOS.SSH.29.9,Library of Congress Subject Headings (LCSH),Library of Congress. Subject Cataloging Division.,Library of Congress ,"Washington : Library of Congress, ?","The Library of Congress Subject Headings (LCSH) comprise a thesaurus (in the information science sense, a controlled vocabulary) of subject headings, maintained by the United States Library of Congress, for use in bibliographic records. LC Subject Headings are an integral part of bibliographic control, which is the function by which libraries collect, organize and disseminate documents. LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",n/a,en,KOS.30!A1:A4,,,10th Edition,,n/a,n/a,"LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",n/a,n/a,n/a,,,,
KOS.SSH.29.10,Library of Congress Subject Headings (LCSH),Mary K. D. Pietris; Henriette D. Avram. ,Library of Congress ,"Washington, D.C. : Cataloging Distribution Service, Library of Congress, 1988.","The Library of Congress Subject Headings (LCSH) comprise a thesaurus (in the information science sense, a controlled vocabulary) of subject headings, maintained by the United States Library of Congress, for use in bibliographic records. LC Subject Headings are an integral part of bibliographic control, which is the function by which libraries collect, organize and disseminate documents. LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",Print book; ,en,KOS.30!A1:A4,Volumes 1-3: https://books.google.nl/books?id=AYhPVofw7CwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false ,10th Edition,11th Edition,n/a,n/a,n/a,"LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",n/a,n/a,n/a,http://bartoc.org/en/node/454,,,
KOS.SSH.29.11,Library of Congress Subject Headings (LCSH),Library of Congress. Subject Cataloging Division.,Library of Congress ,"Washington, D.C. : Cataloging Distribution Service, Library of Congress, 1989.","The Library of Congress Subject Headings (LCSH) comprise a thesaurus (in the information science sense, a controlled vocabulary) of subject headings, maintained by the United States Library of Congress, for use in bibliographic records. LC Subject Headings are an integral part of bibliographic control, which is the function by which libraries collect, organize and disseminate documents. LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",Print book; ,en,KOS.30!A1:A4,n/a,11th Edition,12th Edition,n/a,n/a,n/a,"LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",n/a,n/a,n/a,http://bartoc.org/en/node/454,,,
KOS.SSH.29.12,Library of Congress Subject Headings (LCSH),Library of Congress. Subject Cataloging Division.,Library of Congress ,"Washington, D.C. : Cataloging Distribution Service, Library of Congress, 1989.","The Library of Congress Subject Headings (LCSH) comprise a thesaurus (in the information science sense, a controlled vocabulary) of subject headings, maintained by the United States Library of Congress, for use in bibliographic records. LC Subject Headings are an integral part of bibliographic control, which is the function by which libraries collect, organize and disseminate documents. LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",Print book; ,en,KOS.30!A1:A4,https://books.google.nl/books?id=DpObmlu-O0YC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,20th Edition ,21st Edition ,At least 4 volumes. ,n/a,n/a,"LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",n/a,n/a,n/a,http://bartoc.org/en/node/454,044.8,D31000,
KOS.SSH.29.13,Library of Congress Subject Headings (LCSH),Library of Congress. Subject Cataloging Division.,Library of Congress ,Library of Congress ,"The Library of Congress Subject Headings (LCSH) comprise a thesaurus (in the information science sense, a controlled vocabulary) of subject headings, maintained by the United States Library of Congress, for use in bibliographic records. LC Subject Headings are an integral part of bibliographic control, which is the function by which libraries collect, organize and disseminate documents. LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",Online; Linked Data; RDF/XML (MADS and SKOS); N-Triples (MADS and SKOS); JSON (MADS/RDF and SKOS/RDF); MADS - RDF/XML; MADS - N-Triples; MADS/RDF - JSON; SKOS - RDF/XML; SKOS - N-Triples; SKOS - JSON,en,n/a,http://id.loc.gov/authorities/subjects.html,n/a,n/a,Online version ,2011-04-26: modified,n/a,"LCSHs are applied to every item within a library’s collection, and facilitate a user’s access to items in the catalogue that pertain to similar subject matter.",n/a,n/a,n/a,http://bartoc.org/en/node/454,044.8,D31000,Subject heading scheme 
KOS.SSH.30,"Répertoire d'Autorité-Matière Encyclopédique et Alphabétique Unifié (RAMEAU);
Directory of Unified Encyclopedic and Alphabetical Authority-Matter (RAMEAU)",France. Cellule nationale de coordination de l'indexation-matière.; Bibliothèque nationale (France),Bibliothèque nationale (France),"Paris (5 rue Auguste-Vacquerie, 75116) : Cellule nationale de coordination de l'indexation-matières, 1988-1999.","RAMEAU (Encyclopedic and Unified Alphabetical Subject Authority Directory) is a subject indexing language. This documentary language is used in France by the National Library of France, university libraries, many public reading or research libraries as well as several private organizations.",Journal; Magazine; Microfiche.,fr,n/a,n/a,n/a,1988-1999,n/a,n/a,n/a,n/a,n/a,n/a,DDC; LCSH.,http://bartoc.org/en/node/18,n/a,D31000,Subject heading scheme 
